record_id,lead_source_id,lane,title,authors,year,publication,doi,canonical_url,accessed_on,access_status,evidence_scope,sequence_allegation,sequence_assessment,sequence_intervention,sequence_review,sequence_later_outcome,disposition,notes
A-001,M-0052,adjacent educational,Developmental Communal Studies,Greg Brown,2023,Communal Societies 43(1),10.9707/0739-1250.1043,https://doi.org/10.9707/0739-1250.1043,2026-08-15,full text in completed journal corpus,Brief author reflection on an opt-in staged alternative school and reported three-year school persistence,broad category only,no,yes,no,aggregate persistence only,context and retrieval lead,"Supplies the exact dissertation citation but no denominator, case process, victim-safety measure, comparator, recurrence result, or long-term outcome"
A-002,M-0052,adjacent educational,We Want to Learn and Succeed: Expelled Middle School Students Discuss Schools as Communities,Gregory W. Brown,1996,Indiana University doctoral dissertation,,,2026-08-15,citation verified; full text not located,Dissertation named by A-001 as the underlying study of Christa McAuliffe Alternative Middle School,unknown,unknown,unknown,unknown,unknown,no promotion; retrieval remains open,"Exact-title, author, Indiana University, ProQuest, WorldCat, and school-name searches did not locate a lawful public full text or stable catalog record in this unit; absence of access is not evidence about the dissertation"
A-003,,adjacent residential/group-home,An Evaluation of Teaching-Family (Achievement Place) Group Homes for Juvenile Offenders,Kathryn A. Kirigin; Curtis J. Braukmann; Jay D. Atwater; Montrose M. Wolf,1982,Journal of Applied Behavior Analysis 15(1):1-16,10.1901/jaba.1982.15-1,https://doi.org/10.1901/jaba.1982.15-1,2026-08-15,full text and primary record inspected,Nonrandom comparison of 13 Teaching-Family homes and nine conventional group homes using police/court records and consumer ratings,court-adjudicated conduct,partial program-level,yes,program and record review,one-year post-treatment,F-169 promoted,During-treatment differences did not persist as significant post-treatment differences; the sample is not a complete persistently dangerous-child sequence
A-004,,adjacent residential/group-care,Intervening at the Setting Level to Prevent Behavioral Incidents in Residential Child Care: Efficacy of the CARE Program Model,Charles V. Izzo; Elliott G. Smith; Martha J. Holden; Catherine I. Norton; Michael A. Nunno; Deborah E. Sellers,2016,Prevention Science 17:554-564,10.1007/s11121-016-0649-0,https://doi.org/10.1007/s11121-016-0649-0,2026-08-15,open full text inspected,Multiple-baseline interrupted time-series evaluation across 11 group-care agencies with 12 baseline and 36 implementation months,incident reports,no individual assessment,setting-level,monthly trend review,no post-exit outcome,F-170 promoted,Residential setting evidence; peer aggression and self-harm effects were inconsistent and authors disclosed program-development/research roles
A-005,,adjacent clinical/community,The Effectiveness of the Stop Now and Plan (SNAP) Program for Boys at Risk for Violence and Delinquency,Jeffrey D. Burke; Rolf Loeber,2015,Prevention Science 16(2):242-253,10.1007/s11121-014-0490-2,https://doi.org/10.1007/s11121-014-0490-2,2026-08-15,full author manuscript and primary record inspected,"Intent-to-treat randomized effectiveness trial of 252 boys aged 6-11 with clinically elevated aggressive, rule-breaking, or antisocial behavior",yes,clinical measures and service intake,yes,3 9 and 15 month measurement,15 months with individualized services continuing,F-171 promoted,"Clinical/community intervention rather than residential or intentional-community governance; parent-report, service-use, selection, sex, and duration limits preserved"
B-001,,authoritative clinical and safeguarding guidance,"Violence and aggression: short-term management in mental health, health and community settings",National Institute for Health and Care Excellence,2015,NICE guideline NG10; published 28 May 2015; full update in development,,https://www.nice.org.uk/guidance/ng10/chapter/recommendations,2026-08-15,"official recommendations, 2024 surveillance decision, and 2026 update-project status inspected","Current published UK practice guidance covering developmental assessment, safeguarding, de-escalation, restrictive interventions, debrief, external review, and governance reporting","conduct, history, triggers, and immediate harm",qualified developmental and clinical assessment,"de-escalation, safeguarding, least-restrictive response, and lawful emergency action",immediate debrief plus service-user-led external review with outside staff within 72 hours,"risk-plan amendment, governing-body reports, and routine outcome monitoring",F-172 promoted,"NG10 remains the published guidance as of access, but NICE is fully updating it for expected publication on 28 January 2027; provisional update material is not final guidance"
B-002,,adjacent forensic and clinical structured professional judgment,The predictive validity of the Structured Assessment of Violence Risk in Youth (SAVRY) among institutionalised adolescents,Monica Gammelgård; Anna-Maija Koivisto; Markku Eronen; Riittakerttu Kaltiala-Heino,2008,Journal of Forensic Psychiatry & Psychology 19(3):352-370,10.1080/14789940802114475,https://doi.org/10.1080/14789940802114475,2026-08-15,"publisher primary record, abstract, DOI, and university publication record inspected","Record-based short-term predictive validation in 208 adolescents across residential psychiatry, correctional schools, and forensic units",baseline record history and conduct,SAVRY summary risk assessment from medical and child-welfare records,no evaluated intervention,no independent review evaluated,institutional violence during the next six months or until earlier discharge,F-173 promoted,"Adjusted relative odds distinguish groups but do not supply individual certainty, false-positive and false-negative counts, a management-effect test, or authority for lay screening"
B-003,,adjacent secure youth care structured professional judgment,Prospective Field Validation of the START:AV in a Dutch Secure Youth Care Sample,Tamara L. F. De Beuf; Vivienne de Vogel; Nick J. Broers; Corine de Ruiter,2023,Assessment 30(3):633-650,10.1177/10731911211063228,https://doi.org/10.1177/10731911211063228,2026-08-15,"open primary article, tables, appendix, supplement links, DOI, and conflict disclosure inspected",Preregistered prospective field validation of 106 clinician-completed START:AV assessments with blinded incident coding over four months,"records, observations, interactions, prior incidents, and professional contacts",trained treatment coordinators using the final Dutch START:AV,no evaluated intervention,clinical reassessment context; research interrater and incremental-validity review,"3,065 coded inpatient incidents across nine outcome categories during four months",F-174 promoted,"Outcome-specific predictive validity was partial; total-score reliability was poor, final judgments added no significant value over lifetime history for tested outcomes, and use was not shown to reduce incidents or liberty restrictions"
B-004,,adjacent child and adolescent inpatient quality improvement,Impact of a debrief tool in acute child and adolescent mental health inpatient units: a centre's experience,William Billal Shepherd; Kyna Patterson; Jessica Blake; Danielle Ward; Ashlee Clarke; Cristina Diaz-Navarro; Farah Abdulsatar,2024,BMJ Open Quality 13(2):e002704,10.1136/bmjoq-2023-002704,https://doi.org/10.1136/bmjoq-2023-002704,2026-08-15,open primary quality-improvement article and DOI record inspected,Staff-requested TALK debrief implementation after patient behavioral events with monthly event rate and severity plus informal staff feedback,patient behavioral event,no individual predictive assessment,TALK staff self-debrief after events,"target, analysis, learning points, actions, delegated follow-up, and care-plan update route",no significant change in event rate or severity; qualitative staff learning and wellbeing signals,F-175 promoted,Patients were not involved in study design or debriefs; feedback was informal and unquantified; use was inconsistent during workload surges; the process was neither independent external review nor a test of patient-centered debriefing
C-001,,adjacent family and community treatment durability,Effects of multisystemic therapy through midlife: a 21.9-year follow-up to a randomized clinical trial with serious and violent juvenile offenders,Aaron M. Sawyer; Charles M. Borduin,2011,Journal of Consulting and Clinical Psychology 79(5):643-652,10.1037/a0024862,https://doi.org/10.1037/a0024862,2026-08-15,"publisher and PubMed primary records, author-supplied article preview, DOI, and underlying thesis record inspected",Intent-to-treat follow-up of 176 people originally randomized as adolescents to multisystemic therapy or individual therapy; official criminal and civil records obtained a mean 21.9 years after treatment,serious and violent juvenile offending; mean 3.9 prior felony arrests,juvenile-court referral and the original randomized clinical-trial assessment,family- and community-based multisystemic therapy versus individual therapy,official-record follow-ups from the original trial through middle adulthood,felony recidivism 34.8% versus 54.8%; misdemeanor frequency 5.0 times lower in MST; family-related civil-suit odds twice as high after individual therapy,F-176 promoted,"Exceptionally long outcome window, but one developer-led trial; Charles Borduin disclosed membership on the board of MST Associates LLC. Records do not measure victim safety, wellbeing, family burden, or which treatment or transition component caused the difference"
