finding_id,source_lane,community_or_group,primary_theme_id,primary_theme,synthesis_claim_ids,evidence_role,confidence,external_verification_needed,article_gap_refs
F-001,intentional-community and communal-history corpus,Modern Times,T-04,"conflict, bounded separation, and remedy",S-03;S-09,"harm, failure, or capture mechanism case",low,yes,G-001
F-002,intentional-community and communal-history corpus,Modern Times,T-04,"conflict, bounded separation, and remedy",S-03;S-09,"harm, failure, or capture mechanism case",medium,yes,G-001
F-003,intentional-community and communal-history corpus,Morning Star Ranch,T-03,"membership, classification, and safety prediction",S-03;S-04;S-12,"mixed mechanism, counterevidence, or boundary case",high,no,G-013
F-004,intentional-community and communal-history corpus,Brotherhood of the Sun,T-01,"authority, role fusion, and capture",S-01;S-02;S-08,"harm, failure, or capture mechanism case",medium,yes,G-004;G-012;G-018
F-005,intentional-community and communal-history corpus,Brotherhood of the Sun,T-07,"assets, exit, records, and material security",S-07;S-08,"harm, failure, or capture mechanism case",medium,yes,G-001;G-003;G-004
F-006,intentional-community and communal-history corpus,Brotherhood of the New Life / Thomas Lake Harris,T-01,"authority, role fusion, and capture",S-01;S-02,"harm, failure, or capture mechanism case",medium,yes,G-005;G-018
F-007,intentional-community and communal-history corpus,Unification Church,T-05,"care, medicine, therapy, and governance firewalls",S-05,"harm, failure, or capture mechanism case",high,no,G-002
F-008,intentional-community and communal-history corpus,Unification Church,T-05,"care, medicine, therapy, and governance firewalls",S-05,"harm, failure, or capture mechanism case",high,no,G-002;G-007
F-009,intentional-community and communal-history corpus,Oneida Community,T-01,"authority, role fusion, and capture",S-01;S-02,"harm, failure, or capture mechanism case",medium,no,G-004;G-005;G-007
F-010,intentional-community and communal-history corpus,Home Colony,T-02,"participation, dissent, reporting, and evidence",S-02;S-09,"harm, failure, or capture mechanism case",medium,yes,G-003
F-011,intentional-community and communal-history corpus,Peoples Temple and Bishop Hill,T-09,"external correction, law, and professional boundaries",S-06;S-09;S-10,"harm, failure, or capture mechanism case",medium,yes,G-013
F-012,intentional-community and communal-history corpus,Seven urban religious communes,T-03,"membership, classification, and safety prediction",S-03;S-04,"method, source-quality, or measurement boundary",medium,no,G-013
F-013,intentional-community and communal-history corpus,Kibbutzim,T-03,"membership, classification, and safety prediction",S-03;S-04,"harm, failure, or capture mechanism case",high,no,G-003;G-014
F-014,intentional-community and communal-history corpus,Intentional communities generally,T-10,"success, outcomes, source quality, and measurement",S-11,"method, source-quality, or measurement boundary",high,no,G-006
F-015,intentional-community and communal-history corpus,Intentional communities generally,T-10,"success, outcomes, source quality, and measurement",S-11,"method, source-quality, or measurement boundary",high,no,G-006;G-007
F-016,intentional-community and communal-history corpus,Two Israeli kibbutzim,T-11,"succession, fission, and movement continuity",S-07;S-11;S-13,protective design or remedy component,high,no,G-008
F-017,intentional-community and communal-history corpus,Two Israeli kibbutzim,T-06,"children, family, education, and direct rights",S-06;S-11,"mixed mechanism, counterevidence, or boundary case",medium,no,G-009
F-018,intentional-community and communal-history corpus,Kibbutzim,T-07,"assets, exit, records, and material security",S-07;S-08;S-13,protective design or remedy component,high,no,G-008
F-019,intentional-community and communal-history corpus,Interhouse,T-10,"success, outcomes, source quality, and measurement",S-11;S-12,protective design or remedy component,medium,no,G-010
F-020,intentional-community and communal-history corpus,Interhouse,T-04,"conflict, bounded separation, and remedy",S-03;S-09;S-10,protective design or remedy component,medium,no,G-011
F-021,intentional-community and communal-history corpus,"Harmony Society, New Harmony, Shakers, Oneida",T-07,"assets, exit, records, and material security",S-07;S-08,protective design or remedy component,high,no,G-012
F-022,intentional-community and communal-history corpus,Oneida Community,T-11,"succession, fission, and movement continuity",S-07;S-11;S-13,protective design or remedy component,medium,yes,G-006;G-016
F-023,intentional-community and communal-history corpus,270 nineteenth-century communes,T-11,"succession, fission, and movement continuity",S-07;S-11;S-13,protective design or remedy component,high,no,G-016
F-024,intentional-community and communal-history corpus,Historical religious and socialist communes,T-08,"capacity, infrastructure, labor, and external dependence",S-11;S-12,"mixed mechanism, counterevidence, or boundary case",high,no,G-015
